run_id,case,idx,rm,dt,T,dT,Gexp,Gimpl
tb_run,Random,212,1,0,48,-34,80,80
tb_run,Random,213,1,0,64,114,0,0
tb_run,Random,214,1,0,-20,-49,100,100
tb_run,Random,215,1,0,-2,18,48,48
tb_run,Random,216,1,0,62,26,0,0
tb_run,Random,217,1,0,98,125,0,0
tb_run,Random,218,1,0,126,127,0,0
tb_run,Random,219,1,0,-78,-128,0,0
tb_run,Random,220,1,0,114,-105,0,0
tb_run,Random,221,1,0,-113,-83,100,100
tb_run,Random,222,1,0,93,43,0,0
tb_run,Random,223,1,0,-40,-49,100,100
tb_run,Random,224,1,0,118,-22,80,80
tb_run,Random,225,1,0,21,127,0,0
tb_run,Random,226,1,0,11,98,0,0
tb_run,Random,227,1,0,-87,122,0,0
tb_run,Random,228,1,0,-53,82,0,0
tb_run,Random,229,1,0,-107,-11,100,100
tb_run,Random,230,1,0,124,-90,80,80
tb_run,Random,231,1,0,-110,8,41,41
tb_run,Random,232,1,0,52,-24,80,80
tb_run,Random,233,1,0,26,114,0,0
tb_run,Random,234,1,0,82,-33,80,80
tb_run,Random,235,1,0,6,32,38,38
tb_run,Random,236,1,0,64,16,0,0
tb_run,Random,237,1,0,103,-21,80,80
tb_run,Random,238,1,0,-36,103,0,0
tb_run,Random,239,1,0,-118,119,0,0
tb_run,Random,240,1,0,29,8,29,29
tb_run,Random,241,1,0,108,119,0,0
tb_run,Random,242,1,0,42,93,0,0
tb_run,Random,243,1,0,-15,92,0,0
tb_run,Random,244,1,0,123,69,0,0
tb_run,Random,245,1,0,79,57,0,0
tb_run,Random,246,1,0,20,-118,0,0
tb_run,Random,247,1,0,2,-15,54,54
tb_run,Random,248,1,0,55,22,0,0
tb_run,Random,249,1,0,104,-102,0,0
tb_run,Random,250,1,0,-60,-63,100,100
tb_run,Random,251,1,0,-120,-115,0,0
tb_run,Random,252,1,0,-59,-104,0,0
tb_run,Random,253,1,0,-113,-52,100,100
tb_run,Random,254,1,0,71,-95,80,80
tb_run,Random,255,1,0,58,50,0,0
tb_run,Random,256,1,0,-39,14,30,30
tb_run,Random,257,1,0,71,-39,80,80
tb_run,Random,258,1,0,-43,-40,100,100
tb_run,Random,259,1,0,26,41,0,0
tb_run,Random,260,1,0,59,75,0,0
tb_run,Random,261,1,0,-23,-105,0,0
tb_run,Random,262,1,0,-89,35,30,30
tb_run,Random,263,1,0,-70,113,0,0
tb_run,Random,264,1,0,-17,48,30,30
tb_run,Random,265,1,0,-70,32,30,30
tb_run,Random,266,1,0,33,63,0,0
tb_run,Random,267,1,0,110,-98,80,80
tb_run,Random,268,1,0,96,-20,80,80
tb_run,Random,269,1,0,-89,-96,100,100
tb_run,Random,270,1,0,83,-27,80,80
tb_run,Random,271,1,0,45,-79,80,80
tb_run,Random,272,1,0,100,-31,80,80
tb_run,Random,273,1,0,-32,77,0,0
tb_run,Random,274,1,0,-33,124,0,0
tb_run,Random,275,1,0,85,49,0,0
tb_run,Random,276,1,0,-94,24,30,30
tb_run,Random,277,1,0,107,-83,80,80
tb_run,Random,278,1,0,-46,115,0,0
tb_run,Random,279,1,0,17,-62,80,80
tb_run,Random,280,1,0,-9,1,50,50
tb_run,Random,281,1,0,101,88,0,0
tb_run,Random,282,1,0,47,98,0,0
tb_run,Random,283,1,0,-81,-107,0,0
tb_run,Random,284,1,0,-19,-111,0,0
tb_run,Random,285,1,0,78,64,0,0
tb_run,Random,286,1,0,16,45,0,0
tb_run,Random,287,1,0,101,-29,80,80
tb_run,Random,288,1,0,14,51,13,13
tb_run,Random,289,1,0,-103,119,0,0
tb_run,Random,290,1,0,116,18,0,0
tb_run,Random,291,1,0,-5,75,0,0
