run_id,source,case_id,idx,reg_mode,dt_mode,T_in,dT_in,alpha,k_dt,Tneg_a,Tneg_b,Tneg_c,Tneg_d,Tzero_a,Tzero_b,Tzero_c,Tzero_d,Tpos_a,Tpos_b,Tpos_c,Tpos_d,dTneg_a,dTneg_b,dTneg_c,dTneg_d,dTzero_a,dTzero_b,dTzero_c,dTzero_d,dTpos_a,dTpos_b,dTpos_c,dTpos_d,S_w,S_wg,G_exp,G_impl,valid_impl,tool_ver,git_rev,seed
tb_run,py,Grid_T=32_dT=60,48,0,0,32,60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=64_dT=-60,49,0,0,64,-60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,26214,20971,80,80,1,PyTest,,0
tb_run,py,Grid_T=64_dT=-30,50,0,0,64,-30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,32767,26213,80,80,1,PyTest,,0
tb_run,py,Grid_T=64_dT=-10,51,0,0,64,-10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,6553,5242,80,80,1,PyTest,,0
tb_run,py,Grid_T=64_dT=0,52,0,0,64,0,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=64_dT=10,53,0,0,64,10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,8192,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=64_dT=30,54,0,0,64,30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,32767,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=64_dT=60,55,0,0,64,60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=96_dT=-60,56,0,0,96,-60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,16123,12898,80,80,1,PyTest,,0
tb_run,py,Grid_T=96_dT=-30,57,0,0,96,-30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,16123,12898,80,80,1,PyTest,,0
tb_run,py,Grid_T=96_dT=-10,58,0,0,96,-10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,6553,5242,80,80,1,PyTest,,0
tb_run,py,Grid_T=96_dT=0,59,0,0,96,0,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=96_dT=10,60,0,0,96,10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,8192,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=96_dT=30,61,0,0,96,30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,16123,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=96_dT=60,62,0,0,96,60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=127_dT=-60,63,0,0,127,-60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=127_dT=-30,64,0,0,127,-30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=127_dT=-10,65,0,0,127,-10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=127_dT=0,66,0,0,127,0,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=127_dT=10,67,0,0,127,10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
